,trials,date_files
LSDB01,69.0,[Timestamp('2023-07-12 00:00:00')]
LSDB02,217.0,"[Timestamp('2023-07-12 00:00:00'), Timestamp('2023-07-13 00:00:00'), Timestamp('2023-07-14 00:00:00')]"
LSDB03,211.0,"[Timestamp('2023-07-12 00:00:00'), Timestamp('2023-07-13 00:00:00'), Timestamp('2023-07-14 00:00:00')]"
LSDB04,86.0,"[Timestamp('2023-07-12 00:00:00'), Timestamp('2023-07-13 00:00:00')]"
LSDB05,216.0,"[Timestamp('2023-07-12 00:00:00'), Timestamp('2023-07-13 00:00:00'), Timestamp('2023-07-14 00:00:00')]"
LSDB06,288.0,"[Timestamp('2023-07-12 00:00:00'), Timestamp('2023-07-13 00:00:00'), Timestamp('2023-07-14 00:00:00'), Timestamp('2023-07-18 00:00:00')]"
LSDB07,80.0,[Timestamp('2023-07-12 00:00:00')]
LSDB08,140.0,"[Timestamp('2023-07-12 00:00:00'), Timestamp('2023-07-13 00:00:00')]"
